index;parent_index;operations;direction
679;1865;rr;1
680;1044;rrr;1
681;2979;rr;2
682;433;r;3
683;64;rr;3
684;3196;r;3
685;3638;rr;0
686;357;rr;0
687;4103;rrr;0
688;1105;r;2
689;115;rrr;3
690;2766;rrr;1
691;1831;rrr;3
692;5217;r;2
693;5218;r;0
694;5219;r;1
695;3254;r;0
696;1387;rr;3
697;637;r;1
698;4872;rr;0
699;2677;rrr;0
700;1250;r;3
701;556;rrr;3
702;329;r;0
703;1496;rr;3
704;1498;rr;1
705;4878;rr;2
706;4879;rr;3
707;4941;rr;0
708;1135;rr;3
709;3132;rrr;3
710;2445;rrr;0
711;4328;rr;1
712;895;rrr;3
713;2629;rr;0
714;140;rd;1
715;5387;r;0
716;922;r;0
717;1575;rr;1
718;5450;rr;3
719;2380;rrr;3
720;5187;r;2
721;3883;rrr;1
722;355;r;0
723;1277;rrr;0
724;1278;rrr;0
725;1279;rrr;0
726;4988;rrr;1
727;1722;rrr;0
728;4739;r;0
729;4280;r;3
730;4281;r;3
731;5692;rr;1
732;3455;rrr;3
733;4557;r;0
734;2015;r;2
735;4938;rrr;2
736;3034;rrr;0
737;3035;rrr;1
738;1296;rr;1
739;331;rr;0
740;4696;rrr;0
741;1775;r;1
742;1777;r;2
743;5604;rr;3
744;4309;rrr;2
745;5388;rrr;0
746;205;rr;0
747;143;rrr;3
748;892;r;1
749;2520;rrr;1
750;4797;rr;0
751;4798;rr;3
752;4428;rr;2
753;4280;rr;1
754;3551;rr;0
755;593;rr;0
756;594;rr;1
757;4456;rrr;0
758;2796;rr;0
759;2289;rr;1
760;1891;rr;0
761;4969;rrr;1
762;3637;rr;0
763;890;rr;1
764;891;r;3
765;592;rr;1
766;186;r;2
767;894;r;0
768;5214;r;1
769;1728;rr;0
770;1386;rrr;0
771;947;r;3
772;1388;r;2
773;593;r;0
774;2961;rrr;0
775;3267;rrr;1
776;4016;rrr;0
777;1463;rrr;2
778;4266;r;0
779;5044;r;2
780;2580;rr;2
781;4841;rrr;0
782;715;rr;3
783;273;rr;0
784;5329;rrr;0
785;5214;rrr;0
786;6168;rr;3
787;3247;rr;2
788;5465;rr;3
789;4431;rr;1
790;1785;rr;3
791;437;rr;3
792;3341;rrr;2
793;4411;rr;0
794;4926;rrr;2
795;2612;r;3
796;4838;rrr;2
797;316;r;1
798;3593;rrr;2
799;3594;rrr;0
800;3595;rrr;0
801;3596;rrr;1
802;1059;rrr;0
803;1060;rrr;0
804;1545;rrr;0
805;949;rrr;2
806;278;rr;3
807;4978;rr;0
808;5336;rrr;0
809;3483;rrr;3
810;2980;rrr;3
811;4198;rrr;2
812;528;rr;3
813;3896;rrr;1
814;1233;rrr;3
815;1516;rr;2
816;2631;rr;1
817;4845;r;2
818;265;rr;0
819;1105;rr;1
820;4309;rr;3
821;6146;r;3
822;5130;rr;0
823;3604;r;0
824;134;r;0
825;6236;r;0
826;5931;r;1
827;749;r;3
828;1744;rr;0
829;328;rrd;0
830;5696;rr;0
831;5697;rr;0
832;570;rr;1
833;5548;rr;1
834;2311;r;1
835;1638;r;1
836;1471;r;1
837;2838;rrr;0
838;5134;r;1
839;1666;rrr;0
840;779;rr;1
841;1783;r;1
842;1107;rr;0
